English,Polish,Example
Hi there!,Cześć!,Hi there! How are you today?
How's it going?,Jak leci?,"How's it going? – Not bad, thanks."
"I'm doing well, thanks.","U mnie w porządku, dzięki.",
Nice to meet you.,Miło cię poznać.,
Long time no see!,Dawno się nie widzieliśmy!,
See you later!,Do zobaczenia później.,
Take care.,Trzymaj się.,
Have a nice day!,Miłego dnia!,
Thanks a lot.,Bardzo dziękuję.,
No problem.,Nie ma sprawy.,
Where is the check-in desk?,Gdzie jest odprawa?,
How much is the ticket?,Ile kosztuje bilet?,
"A one-way ticket to London, please.",Poproszę bilet w jedną stronę do Londynu.,
"A round-trip ticket, please.",Poproszę bilet w obie strony.,
I have a reservation.,Mam rezerwację.,
"Can I see your passport, please?",Czy mogę zobaczyć twój paszport?,
What time is check-out?,O której jest wymeldowanie?,
"Could you call me a taxi, please?",Czy mógłby Pan/Pani wezwać mi taksówkę?,
I'm looking for gate number 12.,Szukam bramki numer 12.,
Where is the nearest bus stop?,Gdzie jest najbliższy przystanek autobusowy?,
"A table for two, please.","Stolik dla dwóch osób, proszę.",
"Could we see the menu, please?",Czy możemy zobaczyć menu?,
"I'll have the chicken, please.",Poproszę kurczaka.,
"Can I get some water, please?",Czy mogę prosić wodę?,
"Could you bring the bill, please?",Czy mogę prosić rachunek?,
This is delicious!,To jest pyszne!,
I'm allergic to nuts.,Jestem uczulony na orzechy.,
I'm vegetarian.,Jestem wegetarianinem.,
Could you recommend something?,Czy może Pan/Pani coś polecić?,
"No, thank you.","Nie, dziękuję.",
How much does it cost?,Ile to kosztuje?,
Can I try it on?,Czy mogę to przymierzyć?,
Do you have this in a bigger size?,Czy macie to w większym rozmiarze?,
Do you take credit cards?,Czy akceptujecie karty kredytowe?,
Can I pay by card?,Czy mogę zapłacić kartą?,
"Can I have a receipt, please?",Czy mogę dostać paragon?,
"I'm just looking, thanks.","Tylko oglądam, dziękuję.",
That's too expensive.,To jest za drogie.,
Do you have this in another color?,Czy macie to w innym kolorze?,
I'll take it.,Wezmę to.,
What do you do?,Czym się zajmujesz?,
Where are you from?,Skąd jesteś?,
I'm from Poland.,Jestem z Polski.,
The weather is nice today.,Dziś jest ładna pogoda.,
It's cold outside.,Na dworze jest zimno.,
I'm tired.,Jestem zmęczony.,
I'm hungry.,Jestem głodny.,
I don't understand.,Nie rozumiem.,
"Could you repeat that, please?",Czy możesz to powtórzyć?,
"Speak slowly, please.","Mów powoli, proszę.",
